admi_cty_no,admi_cty_name
41591250,봉담읍
41591253,우정읍
41591256,향남읍
41591259,남양읍
41591310,매송면
41591320,비봉면
41591330,마도면
41591340,송산면
41591350,서신면
41591360,팔탄면
41591370,장안면
41591380,양감면
41591390,정남면
41591510,진안동
41591520,병점1동
41591530,병점2동
41591540,반월동
41591550,기배동
41591560,화산동
41591570,새솔동
41591590,동탄1동
41591600,동탄2동
41591610,동탄3동
41591620,동탄4동
41591630,동탄5동
41591640,동탄6동
41591650,동탄7동
41591660,동탄8동
41591670,동탄9동
