행정동코드,상권업종대분류명,store_count
41115680,시설관리·임대,39
41115680,예술·스포츠,54
41115680,음식,264
41115690,과학·기술,41
41115690,교육,106
41115690,보건의료,32
41115690,부동산,29
41115690,소매,94
41115690,수리·개인,109
41115690,시설관리·임대,14
41115690,예술·스포츠,29
41115690,음식,183
41115700,과학·기술,51
41115700,교육,18
41115700,보건의료,25
41115700,부동산,24
41115700,소매,218
41115700,수리·개인,70
41115700,숙박,4
41115700,시설관리·임대,28
41115700,예술·스포츠,14
41115700,음식,144
41115710,과학·기술,91
41115710,교육,55
41115710,보건의료,22
41115710,부동산,38
41115710,소매,266
41115710,수리·개인,150
41115710,숙박,2
41115710,시설관리·임대,52
41115710,예술·스포츠,55
41115710,음식,261
41115720,과학·기술,27
41115720,교육,70
41115720,보건의료,37
41115720,부동산,22
41115720,소매,98
41115720,수리·개인,77
41115720,숙박,8
41115720,시설관리·임대,15
41115720,예술·스포츠,48
41115720,음식,191
41115730,과학·기술,484
41115730,교육,230
41115730,보건의료,215
41115730,부동산,151
41115730,소매,839
41115730,수리·개인,572
41115730,숙박,149
41115730,시설관리·임대,217
41115730,예술·스포츠,197
41115730,음식,1431
41115740,과학·기술,140
41115740,교육,89
41115740,보건의료,54
41115740,부동산,23
41115740,소매,849
41115740,수리·개인,109
41115740,숙박,104
41115740,시설관리·임대,71
41115740,예술·스포츠,63
41115740,음식,809
41117510,과학·기술,23
41117510,교육,40
41117510,보건의료,31
41117510,부동산,22
41117510,소매,151
41117510,수리·개인,60
41117510,숙박,6
41117510,시설관리·임대,14
41117510,예술·스포츠,18
41117510,음식,128
41117520,과학·기술,73
41117520,교육,62
41117520,보건의료,16
41117520,부동산,27
41117520,소매,147
41117520,수리·개인,112
41117520,숙박,1
41117520,시설관리·임대,35
41117520,예술·스포츠,26
41117520,음식,217
41117530,과학·기술,65
41117530,교육,207
41117530,보건의료,47
41117530,부동산,72
41117530,소매,273
41117530,수리·개인,231
41117530,숙박,11
41117530,시설관리·임대,33
41117530,예술·스포츠,118
41117530,음식,503
41117540,과학·기술,32
41117540,교육,34
41117540,보건의료,8
41117540,부동산,32
41117540,소매,126
41117540,수리·개인,88
41117540,숙박,2
41117540,시설관리·임대,12
41117540,예술·스포츠,28
41117540,음식,193
41117550,과학·기술,532
41117550,교육,153
41117550,보건의료,44
41117550,부동산,126
41117550,소매,334
41117550,수리·개인,243
41117550,숙박,17
41117550,시설관리·임대,86
41117550,예술·스포츠,74
41117550,음식,532
41117570,과학·기술,37
41117570,교육,112
41117570,보건의료,17
41117570,부동산,27
41117570,소매,86
41117570,수리·개인,48
41117570,시설관리·임대,7
41117570,예술·스포츠,40
41117570,음식,116
41117580,과학·기술,295
41117580,교육,137
41117580,보건의료,45
41117580,부동산,56
41117580,소매,250
41117580,수리·개인,198
41117580,숙박,21
41117580,시설관리·임대,94
41117580,예술·스포츠,93
41117580,음식,469
41117585,과학·기술,387
41117585,교육,441
41117585,보건의료,110
41117585,부동산,86
41117585,소매,446
41117585,수리·개인,308
41117585,숙박,36
41117585,시설관리·임대,104
41117585,예술·스포츠,150
41117585,음식,807
41117593,과학·기술,35
41117593,교육,143
41117593,보건의료,30
41117593,부동산,17
41117593,소매,111
41117593,수리·개인,87
41117593,숙박,6
41117593,시설관리·임대,15
41117593,예술·스포츠,37
41117593,음식,147
41117596,과학·기술,29
41117596,교육,181
41117596,보건의료,68
41117596,부동산,24
41117596,소매,135
41117596,수리·개인,110
41117596,숙박,1
41117596,시설관리·임대,5
41117596,예술·스포츠,25
41117596,음식,137
41117600,과학·기술,437
41117600,교육,422
41117600,보건의료,85
41117600,부동산,126
41117600,소매,554
41117600,수리·개인,285
41117600,숙박,2
41117600,시설관리·임대,67
41117600,예술·스포츠,106
41117600,음식,795
41117610,과학·기술,664
41117610,교육,157
41117610,보건의료,23
41117610,부동산,83
41117610,소매,407
41117610,수리·개인,146
41117610,숙박,1
41117610,시설관리·임대,63
41117610,예술·스포츠,38
41117610,음식,414
41131510,과학·기술,27
41131510,교육,21
41131510,보건의료,43
41131510,부동산,34
41131510,소매,196
41131510,수리·개인,122
41131510,숙박,43
41131510,시설관리·임대,24
41131510,예술·스포츠,31
41131510,음식,260
41131520,과학·기술,29
41131520,교육,64
41131520,보건의료,28
41131520,부동산,48
41131520,소매,218
41131520,수리·개인,63
